sist;Annona mucosa;Artocarpus heterophyllus;Bactris gasipaes;Cecropia hololeuca;Ceiba speciosa;Citrus reticulata;Citrus sinensis;Clitoria fairchildiana;Cocos nucifera;Cupania vernalis;Euterpe edulis;Guarea guidonia;Inga edulis;Inga laurina;Inga vera;Luehea divaricata;Mangifera indica;Miconia prasina;Musa balbisiana;Myrciaria tenella;Myrsine coriacea;Ocotea laxa;Ocotea macrantha;Persea americana;Piptadenia macradenia;Pityrocarpa gonoacantha;Pityrocarpa paniculata;Plathymenia reticulata;Pleroma granulosum;Psidium guajava;Schinus terebinthifolia;Sparattosperma leucanthum;Tecoma stans;Theobroma cacao;Vachellia farnesiana;Vitex megapotamica;Vochysia divergens
AFS1;10;0;25;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AFS2;0;0;20;4;0;0;0;0;0;9;0;0;0;0;0;3;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AFS3;0;0;19;3;0;0;0;0;3;4;0;0;0;0;0;0;1;16;0;0;8;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
AFS4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;8;7;0;3
AFS5;0;0;0;0;0;15;11;0;0;0;0;0;22;5;16;0;0;0;23;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
AFS6;0;2;5;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;7;0;5;0;0;0;0;2;0;2;0;11;0;0;0;0;0;0;0
AFS7;5;0;0;0;1;0;0;1;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;13;0;33;0;0;0;0;0;0;3;0;0;0;0
AFS8;0;8;8;0;0;0;0;0;0;0;6;6;0;5;0;0;6;0;5;3;4;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
RES1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;8;0;0;0;0;14;0
RES2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;5
RES3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;2;0;0;5;0;0;0;0;6;0
RES4;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0
RES5;0;0;0;0;0;0;0;0;0;0;0;4;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0
RES6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
RES7;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0
RES8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;8;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0
