spp;comp_fr_cm;comp_se_cm;cor_fruto;tipo_fruto_1;tipo_fruto_2;tipo_fruto_3;tipo_fruto_4
Annona mucosa;13.79;1.47;amarelo;simples;carnoso;baga;indeiscente
Artocarpus heterophyllus;49.2;2.8;verde;simples;carnoso;baga;indeiscente
Bactris gasipaes;3.3;2.3;vermelho_amarelo_laranja;simples;carnoso;drupa;indeiscente
Cecropia hololeuca;8.15;1.7;verde;composto;seco;aquenio;indeiscente
Ceiba speciosa;18.97;0.85;verde;simples;seco;capsula;deiscente
Citrus reticulata;5.95;1;laranja;simples;carnoso;baga;indeiscente
Citrus sinensis;7.22;1.2;laranja;simples;carnoso;baga;indeiscente
Clitoria fairchildiana;22.36;1.45;verde;simples;seco;legume;deiscente
Cocos nucifera;20.27;3.5;verde;simples;seco;drupa;deiscente
Cupania vernalis;2.25;0.96;amarelo;simples;seco;capsula;deiscente
Euterpe edulis;1.42;1.1;roxo;simples;carnoso;drupa;indeiscente
Guarea guidonia;2;1.38;marrom;simples;seco;capsula;deiscente
Inga edulis;56.72;2.5;verde;simples;seco;foliculo;deiscente
Inga laurina;12.5;1.9;amarelo;simples;seco;legume;deiscente
Inga vera;8;1.7;amarelo;simples;seco;legume;indeiscente
Luehea divaricata;2.05;1.25;castanho;simples;seco;capsula;deiscente
Mangifera indica;12.16;6.28;vermelho_amarelo_laranja;simples;carnoso;drupa;indeiscente
Miconia prasina;0.63;0.1;roxo;simples;carnoso;baga;indeiscente
Musa balbisiana;23;0;amarelo;simples;carnoso;baga;indeiscente
Myrciaria tenella;0.77;0.43;vermelho ;simples;carnoso;baga;indeiscente
Myrsine coriacea;0.37;0.3;roxo;simples;carnoso;drupa;indeiscente
Ocotea laxa;2.1;1.65;verde;simples;carnoso;baga;deiscente
Ocotea macrantha;2.65;2;verde;simples;carnoso;baga;indeiscente
Persea americana;6.6;5.32;verde;simples;carnoso;drupa;indeiscente
Piptadenia macradenia;20;1.6;marrom;simples;seco;foliculo;deiscente
Pityrocarpa gonoacantha;12.37;1.03;marrom;simples;seco;legume;deiscente
Pityrocarpa paniculata;14.65;0.65;marrom;simples;seco;legume;deiscente
Plathymenia reticulata;16.22;0.7;vermelho;simples;seco;legume;deiscente
Pleroma granulosum;1.08;0.9;marrom;simples;seco;capsula;deiscente
Psidium guajava;6.27;0.47;amarelo;simples;carnoso;baga;indeiscente
Schinus terebinthifolia;0.56;0.46;vermelho;simples;carnoso;drupa;indeiscente
Sparattosperma leucanthum;29.43;3.52;verde;simples;seco;siliqua;deiscente
Tecoma stans;16.15;2.09;marrom;simples;seco;capsula;deiscente
Theobroma cacao;22.33;3;amarelo;simples;carnoso;baga;indeiscente
Vachellia farnesiana;6.01;0.59;marrom;simples;seco;legume;indeiscente
Vitex megapotamica;1.94;0.7;roxo;simples;carnoso;drupa;indeiscente
Vochysia divergens;3.42;2.83;verde;simples;seco;capsula;deiscente
